frame_no,joint_name,x_cm,y_cm,z_cm
560,left_elbow,152.69,98.55,-229.17
561,left_elbow,149.73,97.86,-151.34
562,left_elbow,150.55,94.18,-162.34
563,left_elbow,151.83,91.84,-160.81
564,left_elbow,159.18,89.42,-177.54
565,left_elbow,163.32,81.11,-180.26
566,left_elbow,161.25,81.57,-183.33
567,left_elbow,159.68,90.75,-163.3
568,left_elbow,157.14,93.49,-158.2
569,left_elbow,155.48,94.7,-155.17
570,left_elbow,157.59,93.6,-218.05
571,left_elbow,158.82,93.07,-232.26
572,left_elbow,159.73,92.93,-232.43
573,left_elbow,153.01,92.55,-243.04
574,left_elbow,151.69,91.39,-246.37
575,left_elbow,152.02,90.54,-249.47
576,left_elbow,138.25,69.09,-150.07
577,left_elbow,136.06,68.42,-119.64
578,left_elbow,136.23,68.3,-163.9
579,left_elbow,117.16,52.19,-4.44
580,left_elbow,113.55,45.4,-27.83
581,left_elbow,120.75,38.86,-26.98
582,left_elbow,119.78,46.53,-32.84
583,left_elbow,118.22,45.74,-36.48
584,left_elbow,120.76,28.29,-46.24
585,left_elbow,109.92,32.0,-21.95
586,left_elbow,110.35,41.04,-24.49
587,left_elbow,112.81,32.51,-46.45
588,left_elbow,115.31,17.82,-48.8
589,left_elbow,122.48,13.3,-51.67
590,left_elbow,124.84,12.8,-63.59
591,left_elbow,124.99,21.26,-47.72
592,left_elbow,125.01,24.44,-44.05
593,left_elbow,124.77,26.05,-39.57
594,left_elbow,110.4,56.14,-23.35
595,left_elbow,110.17,58.12,-26.16
596,left_elbow,110.11,53.61,-27.78
597,left_elbow,106.41,60.29,-29.64
598,left_elbow,106.36,61.92,-30.7
599,left_elbow,106.73,62.65,-29.92
600,left_elbow,106.98,64.48,-27.61
601,left_elbow,106.29,68.98,-28.34
602,left_elbow,106.65,69.66,-28.8
603,left_elbow,106.61,66.89,-28.84
604,left_elbow,106.43,67.25,-28.74
605,left_elbow,106.06,67.67,-30.15
606,left_elbow,105.92,69.16,-19.63
607,left_elbow,106.01,69.87,-20.35
608,left_elbow,105.98,70.36,-22.1
609,left_elbow,107.32,69.59,-26.76
610,left_elbow,107.33,67.82,-29.28
611,left_elbow,107.49,67.39,-30.92
612,left_elbow,110.0,66.2,-32.37
613,left_elbow,110.94,64.93,-33.05
614,left_elbow,109.21,60.91,-24.45
615,left_elbow,109.59,62.76,-7.22
616,left_elbow,109.82,64.1,-4.48
617,left_elbow,110.76,64.25,-5.16
618,left_elbow,108.43,74.09,-12.81
619,left_elbow,107.5,76.25,-16.2
620,left_elbow,107.12,76.8,-16.52
621,left_elbow,107.21,75.27,-16.96
622,left_elbow,107.26,74.43,-17.16
623,left_elbow,107.29,73.93,-18.65
624,left_elbow,111.73,69.49,-17.67
625,left_elbow,112.99,68.25,-15.18
626,left_elbow,113.45,67.79,-14.19
627,left_elbow,110.71,67.46,-11.41
628,left_elbow,107.25,69.67,-12.0
629,left_elbow,106.01,70.84,-12.55
630,left_elbow,110.32,70.79,-16.17
631,left_elbow,113.63,70.45,-17.62
632,left_elbow,114.99,69.86,-19.34
633,left_elbow,114.28,67.17,-19.23
634,left_elbow,113.87,65.91,-18.69
635,left_elbow,113.63,65.71,-18.18
636,left_elbow,113.19,63.26,-11.91
637,left_elbow,113.1,62.44,-12.2
638,left_elbow,113.08,62.08,-12.31
639,left_elbow,114.76,57.34,-13.99
640,left_elbow,115.23,56.24,-14.99
641,left_elbow,111.41,58.96,-14.15
642,left_elbow,111.45,59.48,-3.03
643,left_elbow,111.47,59.98,-1.63
644,left_elbow,111.48,60.23,-1.16
645,left_elbow,111.59,59.14,7.05
646,left_elbow,111.71,58.62,11.06
647,left_elbow,111.96,58.3,13.0
648,left_elbow,111.82,57.39,12.76
649,left_elbow,111.74,56.91,6.9
650,left_elbow,111.7,56.78,4.53
651,left_elbow,111.75,57.0,13.52
652,left_elbow,112.76,60.55,10.86
653,left_elbow,112.33,61.01,11.2
654,left_elbow,112.32,53.81,14.14
655,left_elbow,112.32,51.55,13.73
656,left_elbow,112.32,52.34,11.76
657,left_elbow,111.69,51.1,18.84
658,left_elbow,111.69,51.58,33.25
659,left_elbow,111.73,52.15,30.39
660,left_elbow,114.66,52.21,9.06
