frame_no,joint_name,x_cm,y_cm,z_cm
1312,left_elbow,120.05,65.08,-98.91
1313,left_elbow,120.11,65.37,-98.44
1314,left_elbow,120.08,65.78,-102.85
1315,left_elbow,120.07,65.93,-92.57
1316,left_elbow,120.69,65.62,-98.24
1317,left_elbow,121.12,66.51,-92.91
1318,left_elbow,121.1,73.4,-98.72
1319,left_elbow,121.45,73.81,-93.42
1320,left_elbow,121.72,72.22,-93.26
1321,left_elbow,122.08,71.32,-88.2
1322,left_elbow,122.44,70.81,-94.61
1323,left_elbow,122.55,70.47,-98.55
1324,left_elbow,122.47,73.07,-99.73
1325,left_elbow,122.27,73.68,-102.27
1326,left_elbow,122.13,74.39,-105.84
1327,left_elbow,120.91,75.08,-32.67
1328,left_elbow,120.34,75.74,-33.53
1329,left_elbow,120.07,75.83,-39.56
1330,left_elbow,119.96,75.95,-46.37
1331,left_elbow,119.35,77.81,-79.2
1332,left_elbow,119.07,78.73,-86.11
1333,left_elbow,118.78,80.7,-114.94
1334,left_elbow,118.76,81.78,-118.25
1335,left_elbow,118.77,82.85,-118.11
1336,left_elbow,116.58,85.64,-109.04
1337,left_elbow,115.85,86.75,-105.96
1338,left_elbow,115.43,87.22,-105.6
1339,left_elbow,116.39,87.4,-109.29
1340,left_elbow,117.46,87.9,-94.96
1341,left_elbow,118.91,88.73,-95.61
1342,left_elbow,117.32,91.07,-71.01
1343,left_elbow,116.58,92.05,-72.92
1344,left_elbow,116.14,92.51,-66.92
1345,left_elbow,115.09,93.29,-43.44
1346,left_elbow,114.47,93.62,-35.82
1347,left_elbow,114.18,93.63,-22.42
1348,left_elbow,112.17,93.23,-13.65
1349,left_elbow,111.41,92.97,-11.82
1350,left_elbow,111.09,92.77,-13.03
1351,left_elbow,110.94,92.63,-11.55
1352,left_elbow,111.18,92.55,-34.56
1353,left_elbow,111.31,92.51,-41.06
1354,left_elbow,110.97,92.87,-40.52
1355,left_elbow,110.68,93.13,-40.41
1356,left_elbow,110.5,93.16,-41.08
1357,left_elbow,110.52,93.4,-43.68
1358,left_elbow,110.61,93.4,-43.0
1359,left_elbow,110.68,93.38,-45.81
1360,left_elbow,110.72,93.23,-45.14
1361,left_elbow,110.75,93.22,-45.18
1362,left_elbow,110.77,93.21,-42.96
1363,left_elbow,110.83,93.26,-33.0
1364,left_elbow,110.86,93.28,-32.92
1365,left_elbow,110.88,93.29,-32.22
1366,left_elbow,110.89,93.46,-27.16
1367,left_elbow,110.9,93.63,-25.8
1368,left_elbow,110.9,93.78,-25.13
1369,left_elbow,110.91,93.93,-30.41
1370,left_elbow,110.93,94.06,-33.96
1371,left_elbow,110.94,94.15,-35.07
1372,left_elbow,110.94,94.21,-35.79
1373,left_elbow,111.2,94.46,-25.21
1374,left_elbow,111.31,94.58,-23.25
1375,left_elbow,111.4,94.67,-29.65
1376,left_elbow,111.47,94.71,-32.89
1377,left_elbow,111.52,94.74,-33.82
1378,left_elbow,111.53,94.76,-38.3
1379,left_elbow,111.53,94.77,-43.06
1380,left_elbow,111.53,94.79,-42.55
1381,left_elbow,111.6,95.24,-48.54
1382,left_elbow,111.64,95.24,-45.29
1383,left_elbow,111.68,95.25,-43.85
1384,left_elbow,111.69,95.41,-44.42
1385,left_elbow,111.7,95.5,-45.57
1386,left_elbow,111.71,95.59,-46.42
1387,left_elbow,111.92,95.74,-56.37
1388,left_elbow,112.07,95.85,-57.13
1389,left_elbow,112.18,95.94,-58.11
1390,left_elbow,112.1,95.72,-55.42
1391,left_elbow,112.15,95.74,-72.34
